Hospital_ID,sex,Percent_Hospital,Percent_Region,Percent_State,outcome,Region
10400,Male,100%,99%,99%,Antithrombotics at discharge,West Central
10400,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
10400,Male,95%,98%,97%,Anticoagulation for AF at discharge,West Central
10400,Female,100%,96%,97%,Statins at Discharge,West Central
10400,Male,100%,98%,98%,Statins at Discharge,West Central
10400,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
10400,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
10400,Female,96%,92%,93%,Defect Free Care,West Central
10400,Male,95%,93%,93%,Defect Free Care,West Central
10400,Female,14%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
10400,Male,43%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
10400,Female,44%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10400,Male,36%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10400,Female,18%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10400,Male,26%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10401,Female,83%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10401,Male,88%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
10401,Female,94%,97%,98%,Early Antithrombotics (2 days),West Central
10401,Male,97%,98%,98%,Early Antithrombotics (2 days),West Central
10401,Female,96%,98%,98%,VTE Prophylaxis,West Central
10401,Male,97%,97%,98%,VTE Prophylaxis,West Central
10401,Female,99%,99%,99%,Antithrombotics at discharge,West Central
10401,Male,100%,99%,99%,Antithrombotics at discharge,West Central
10401,Female,97%,97%,97%,Anticoagulation for AF at discharge,West Central
10401,Male,96%,98%,97%,Anticoagulation for AF at discharge,West Central
10401,Female,97%,96%,97%,Statins at Discharge,West Central
10401,Male,93%,98%,98%,Statins at Discharge,West Central
10401,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
10401,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
10401,Female,87%,92%,93%,Defect Free Care,West Central
10401,Male,90%,93%,93%,Defect Free Care,West Central
10401,Female,18%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
10401,Male,41%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
10401,Female,19%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10401,Male,31%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10401,Female,27%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10401,Male,39%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10720,Female,100%,86%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
10720,Male,100%,94%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
10720,Female,99%,98%,98%,Early Antithrombotics (2 days),Panhandle
10720,Male,100%,99%,98%,Early Antithrombotics (2 days),Panhandle
10720,Female,100%,95%,98%,VTE Prophylaxis,Panhandle
10720,Male,100%,96%,98%,VTE Prophylaxis,Panhandle
10720,Female,100%,99%,99%,Antithrombotics at discharge,Panhandle
10720,Male,100%,99%,99%,Antithrombotics at discharge,Panhandle
10720,Female,100%,97%,97%,Anticoagulation for AF at discharge,Panhandle
10720,Male,100%,99%,97%,Anticoagulation for AF at discharge,Panhandle
10720,Female,100%,95%,97%,Statins at Discharge,Panhandle
10720,Male,99%,96%,98%,Statins at Discharge,Panhandle
10720,Female,100%,98%,98%,Smoking Cessation Counseling,Panhandle
10720,Male,100%,99%,97%,Smoking Cessation Counseling,Panhandle
10720,Female,99%,90%,93%,Defect Free Care,Panhandle
10720,Male,99%,92%,93%,Defect Free Care,Panhandle
10720,Female,14%,41%,52%,Door To Needle Time Within 60 Minutes,Panhandle
10720,Male,12%,53%,56%,Door To Needle Time Within 60 Minutes,Panhandle
10720,Female,59%,38%,34%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
10720,Male,51%,38%,35%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
10720,Female,15%,38%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
10720,Male,36%,48%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
13705,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13705,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13705,Female,96%,98%,98%,Early Antithrombotics (2 days),South
13705,Male,100%,97%,98%,Early Antithrombotics (2 days),South
13705,Female,97%,97%,98%,VTE Prophylaxis,South
13705,Male,100%,97%,98%,VTE Prophylaxis,South
13705,Female,100%,99%,99%,Antithrombotics at discharge,South
13705,Male,100%,99%,99%,Antithrombotics at discharge,South
13705,Female,86%,97%,97%,Anticoagulation for AF at discharge,South
13705,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13705,Female,100%,98%,97%,Statins at Discharge,South
13705,Male,100%,99%,98%,Statins at Discharge,South
13705,Female,100%,97%,98%,Smoking Cessation Counseling,South
13705,Male,100%,98%,97%,Smoking Cessation Counseling,South
13705,Female,94%,94%,93%,Defect Free Care,South
13705,Male,100%,94%,93%,Defect Free Care,South
13705,Female,17%,68%,52%,Door To Needle Time Within 60 Minutes,South
13705,Male,75%,66%,56%,Door To Needle Time Within 60 Minutes,South
13705,Female,53%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13705,Male,50%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13705,Female,60%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13705,Male,67%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13710,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13710,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13710,Female,90%,98%,98%,Early Antithrombotics (2 days),South
13710,Male,92%,97%,98%,Early Antithrombotics (2 days),South
13710,Female,98%,97%,98%,VTE Prophylaxis,South
13710,Male,96%,97%,98%,VTE Prophylaxis,South
13710,Female,98%,99%,99%,Antithrombotics at discharge,South
13710,Male,98%,99%,99%,Antithrombotics at discharge,South
13710,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13710,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13710,Female,98%,98%,97%,Statins at Discharge,South
13710,Male,98%,99%,98%,Statins at Discharge,South
13710,Female,67%,97%,98%,Smoking Cessation Counseling,South
13710,Male,100%,98%,97%,Smoking Cessation Counseling,South
13710,Female,83%,94%,93%,Defect Free Care,South
13710,Male,89%,94%,93%,Defect Free Care,South
13710,Female,33%,68%,52%,Door To Needle Time Within 60 Minutes,South
13710,Male,20%,66%,56%,Door To Needle Time Within 60 Minutes,South
13710,Female,49%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13710,Male,40%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13710,Female,23%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13710,Male,42%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13732,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13732,Male,94%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13732,Female,99%,98%,98%,Early Antithrombotics (2 days),South
13732,Male,100%,97%,98%,Early Antithrombotics (2 days),South
13732,Female,99%,97%,98%,VTE Prophylaxis,South
13732,Male,100%,97%,98%,VTE Prophylaxis,South
13732,Female,98%,99%,99%,Antithrombotics at discharge,South
13732,Male,100%,99%,99%,Antithrombotics at discharge,South
13732,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13732,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13732,Female,98%,98%,97%,Statins at Discharge,South
13732,Male,100%,99%,98%,Statins at Discharge,South
13732,Female,100%,97%,98%,Smoking Cessation Counseling,South
13732,Male,100%,98%,97%,Smoking Cessation Counseling,South
13732,Female,97%,94%,93%,Defect Free Care,South
13732,Male,99%,94%,93%,Defect Free Care,South
13732,Female,44%,68%,52%,Door To Needle Time Within 60 Minutes,South
13732,Male,83%,66%,56%,Door To Needle Time Within 60 Minutes,South
13732,Female,65%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13732,Male,71%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13732,Female,40%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13732,Male,60%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13742,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13742,Male,83%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13742,Female,97%,98%,98%,Early Antithrombotics (2 days),South
13742,Male,97%,97%,98%,Early Antithrombotics (2 days),South
13742,Female,100%,97%,98%,VTE Prophylaxis,South
13742,Male,98%,97%,98%,VTE Prophylaxis,South
13742,Female,100%,99%,99%,Antithrombotics at discharge,South
13742,Male,100%,99%,99%,Antithrombotics at discharge,South
13742,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13742,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13742,Female,100%,98%,97%,Statins at Discharge,South
13742,Male,100%,99%,98%,Statins at Discharge,South
13742,Female,100%,97%,98%,Smoking Cessation Counseling,South
13742,Male,100%,98%,97%,Smoking Cessation Counseling,South
13742,Female,98%,94%,93%,Defect Free Care,South
13742,Male,93%,94%,93%,Defect Free Care,South
13742,Female,100%,68%,52%,Door To Needle Time Within 60 Minutes,South
13742,Male,40%,66%,56%,Door To Needle Time Within 60 Minutes,South
13742,Female,66%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13742,Male,55%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13742,Female,42%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13742,Male,25%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13779,Female,50%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13779,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13779,Female,98%,98%,98%,Early Antithrombotics (2 days),South
13779,Male,100%,97%,98%,Early Antithrombotics (2 days),South
13779,Female,100%,97%,98%,VTE Prophylaxis,South
13779,Male,98%,97%,98%,VTE Prophylaxis,South
13779,Female,100%,99%,99%,Antithrombotics at discharge,South
13779,Male,100%,99%,99%,Antithrombotics at discharge,South
13779,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13779,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13779,Female,100%,98%,97%,Statins at Discharge,South
13779,Male,100%,99%,98%,Statins at Discharge,South
13779,Female,100%,97%,98%,Smoking Cessation Counseling,South
13779,Male,86%,98%,97%,Smoking Cessation Counseling,South
13779,Female,97%,94%,93%,Defect Free Care,South
13779,Male,95%,94%,93%,Defect Free Care,South
13779,Male,33%,66%,56%,Door To Needle Time Within 60 Minutes,South
13779,Female,31%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13779,Male,38%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13779,Female,20%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13779,Male,43%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13781,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13781,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13781,Female,100%,98%,98%,Early Antithrombotics (2 days),South
13781,Male,98%,97%,98%,Early Antithrombotics (2 days),South
13781,Female,100%,97%,98%,VTE Prophylaxis,South
13781,Male,100%,97%,98%,VTE Prophylaxis,South
13781,Female,100%,99%,99%,Antithrombotics at discharge,South
13781,Male,100%,99%,99%,Antithrombotics at discharge,South
13781,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13781,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13781,Female,100%,98%,97%,Statins at Discharge,South
13781,Male,98%,99%,98%,Statins at Discharge,South
13781,Female,100%,97%,98%,Smoking Cessation Counseling,South
13781,Male,100%,98%,97%,Smoking Cessation Counseling,South
13781,Female,100%,94%,93%,Defect Free Care,South
13781,Male,97%,94%,93%,Defect Free Care,South
13781,Female,91%,68%,52%,Door To Needle Time Within 60 Minutes,South
13781,Male,69%,66%,56%,Door To Needle Time Within 60 Minutes,South
13781,Female,68%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13781,Male,70%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13781,Female,48%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13781,Male,55%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13782,Female,97%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13782,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13782,Female,98%,98%,98%,Early Antithrombotics (2 days),South
13782,Male,98%,97%,98%,Early Antithrombotics (2 days),South
13782,Female,96%,97%,98%,VTE Prophylaxis,South
13782,Male,97%,97%,98%,VTE Prophylaxis,South
13782,Female,99%,99%,99%,Antithrombotics at discharge,South
13782,Male,98%,99%,99%,Antithrombotics at discharge,South
13782,Female,92%,97%,97%,Anticoagulation for AF at discharge,South
13782,Male,95%,97%,97%,Anticoagulation for AF at discharge,South
13782,Female,99%,98%,97%,Statins at Discharge,South
13782,Male,99%,99%,98%,Statins at Discharge,South
13782,Female,89%,97%,98%,Smoking Cessation Counseling,South
13782,Male,96%,98%,97%,Smoking Cessation Counseling,South
13782,Female,92%,94%,93%,Defect Free Care,South
13782,Male,93%,94%,93%,Defect Free Care,South
13782,Female,90%,68%,52%,Door To Needle Time Within 60 Minutes,South
13782,Male,89%,66%,56%,Door To Needle Time Within 60 Minutes,South
13782,Female,59%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13782,Male,58%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13782,Female,61%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13782,Male,47%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13811,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13811,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13811,Female,100%,98%,98%,Early Antithrombotics (2 days),South
13811,Male,98%,97%,98%,Early Antithrombotics (2 days),South
13811,Female,100%,97%,98%,VTE Prophylaxis,South
13811,Male,95%,97%,98%,VTE Prophylaxis,South
13811,Female,100%,99%,99%,Antithrombotics at discharge,South
13811,Male,100%,99%,99%,Antithrombotics at discharge,South
13811,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13811,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13811,Female,100%,98%,97%,Statins at Discharge,South
13811,Male,100%,99%,98%,Statins at Discharge,South
13811,Female,100%,97%,98%,Smoking Cessation Counseling,South
13811,Male,100%,98%,97%,Smoking Cessation Counseling,South
13811,Female,100%,94%,93%,Defect Free Care,South
13811,Male,94%,94%,93%,Defect Free Care,South
13811,Female,100%,68%,52%,Door To Needle Time Within 60 Minutes,South
13811,Male,100%,66%,56%,Door To Needle Time Within 60 Minutes,South
13811,Female,38%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13811,Male,33%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13811,Female,46%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13811,Male,47%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13815,Female,100%,98%,98%,Early Antithrombotics (2 days),South
13815,Male,100%,97%,98%,Early Antithrombotics (2 days),South
13815,Female,97%,97%,98%,VTE Prophylaxis,South
13815,Male,96%,97%,98%,VTE Prophylaxis,South
13815,Female,100%,99%,99%,Antithrombotics at discharge,South
13815,Male,100%,99%,99%,Antithrombotics at discharge,South
13815,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13815,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13815,Female,95%,98%,97%,Statins at Discharge,South
13815,Male,93%,99%,98%,Statins at Discharge,South
13815,Male,100%,98%,97%,Smoking Cessation Counseling,South
13815,Female,94%,94%,93%,Defect Free Care,South
13815,Male,92%,94%,93%,Defect Free Care,South
13815,Female,11%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13815,Male,21%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,Female,96%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13819,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13819,Female,100%,98%,98%,Early Antithrombotics (2 days),South
13819,Male,100%,97%,98%,Early Antithrombotics (2 days),South
13819,Female,99%,97%,98%,VTE Prophylaxis,South
13819,Male,100%,97%,98%,VTE Prophylaxis,South
13819,Female,100%,99%,99%,Antithrombotics at discharge,South
13819,Male,100%,99%,99%,Antithrombotics at discharge,South
13819,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13819,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13819,Female,100%,98%,97%,Statins at Discharge,South
13819,Male,100%,99%,98%,Statins at Discharge,South
13819,Female,100%,97%,98%,Smoking Cessation Counseling,South
13819,Male,100%,98%,97%,Smoking Cessation Counseling,South
13819,Female,99%,94%,93%,Defect Free Care,South
13819,Male,100%,94%,93%,Defect Free Care,South
13819,Female,84%,68%,52%,Door To Needle Time Within 60 Minutes,South
13819,Male,79%,66%,56%,Door To Needle Time Within 60 Minutes,South
13819,Female,72%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,Male,75%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,Female,46%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13819,Male,44%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13862,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13862,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13862,Female,94%,98%,98%,Early Antithrombotics (2 days),South
13862,Male,90%,97%,98%,Early Antithrombotics (2 days),South
13862,Female,97%,97%,98%,VTE Prophylaxis,South
13862,Male,97%,97%,98%,VTE Prophylaxis,South
13862,Female,97%,99%,99%,Antithrombotics at discharge,South
13862,Male,98%,99%,99%,Antithrombotics at discharge,South
13862,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
13862,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
13862,Female,96%,98%,97%,Statins at Discharge,South
13862,Male,96%,99%,98%,Statins at Discharge,South
13862,Female,88%,97%,98%,Smoking Cessation Counseling,South
13862,Male,100%,98%,97%,Smoking Cessation Counseling,South
13862,Female,88%,94%,93%,Defect Free Care,South
13862,Male,88%,94%,93%,Defect Free Care,South
13862,Male,33%,66%,56%,Door To Needle Time Within 60 Minutes,South
13862,Female,21%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
13862,Male,15%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
13862,Female,20%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13862,Male,25%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
14462,Male,83%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14462,Female,96%,97%,98%,Early Antithrombotics (2 days),West Central
14462,Male,95%,98%,98%,Early Antithrombotics (2 days),West Central
14462,Female,98%,98%,98%,VTE Prophylaxis,West Central
14462,Male,98%,97%,98%,VTE Prophylaxis,West Central
14462,Female,98%,99%,99%,Antithrombotics at discharge,West Central
14462,Male,100%,99%,99%,Antithrombotics at discharge,West Central
14462,Female,94%,97%,97%,Anticoagulation for AF at discharge,West Central
14462,Male,91%,98%,97%,Anticoagulation for AF at discharge,West Central
14462,Female,96%,96%,97%,Statins at Discharge,West Central
14462,Male,99%,98%,98%,Statins at Discharge,West Central
14462,Female,92%,99%,98%,Smoking Cessation Counseling,West Central
14462,Male,91%,99%,97%,Smoking Cessation Counseling,West Central
14462,Female,90%,92%,93%,Defect Free Care,West Central
14462,Male,90%,93%,93%,Defect Free Care,West Central
14462,Male,25%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
14462,Female,12%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14462,Male,14%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14462,Female,6%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14462,Male,32%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14562,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14562,Male,75%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14562,Female,97%,97%,98%,Early Antithrombotics (2 days),West Central
14562,Male,100%,98%,98%,Early Antithrombotics (2 days),West Central
14562,Female,100%,98%,98%,VTE Prophylaxis,West Central
14562,Male,97%,97%,98%,VTE Prophylaxis,West Central
14562,Female,100%,99%,99%,Antithrombotics at discharge,West Central
14562,Male,100%,99%,99%,Antithrombotics at discharge,West Central
14562,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
14562,Male,86%,98%,97%,Anticoagulation for AF at discharge,West Central
14562,Female,100%,96%,97%,Statins at Discharge,West Central
14562,Male,100%,98%,98%,Statins at Discharge,West Central
14562,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
14562,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
14562,Female,98%,92%,93%,Defect Free Care,West Central
14562,Male,91%,93%,93%,Defect Free Care,West Central
14562,Female,80%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
14562,Male,67%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
14562,Female,21%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14562,Male,38%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14562,Female,31%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14562,Male,33%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14842,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14842,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14842,Female,99%,97%,98%,Early Antithrombotics (2 days),West Central
14842,Male,99%,98%,98%,Early Antithrombotics (2 days),West Central
14842,Female,100%,98%,98%,VTE Prophylaxis,West Central
14842,Male,100%,97%,98%,VTE Prophylaxis,West Central
14842,Female,100%,99%,99%,Antithrombotics at discharge,West Central
14842,Male,100%,99%,99%,Antithrombotics at discharge,West Central
14842,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
14842,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
14842,Female,100%,96%,97%,Statins at Discharge,West Central
14842,Male,100%,98%,98%,Statins at Discharge,West Central
14842,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
14842,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
14842,Female,99%,92%,93%,Defect Free Care,West Central
14842,Male,99%,93%,93%,Defect Free Care,West Central
14842,Female,38%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
14842,Male,27%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
14842,Female,22%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14842,Male,16%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14842,Female,27%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14842,Male,27%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14942,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14942,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14942,Female,100%,97%,98%,Early Antithrombotics (2 days),West Central
14942,Male,99%,98%,98%,Early Antithrombotics (2 days),West Central
14942,Female,99%,98%,98%,VTE Prophylaxis,West Central
14942,Male,99%,97%,98%,VTE Prophylaxis,West Central
14942,Female,100%,99%,99%,Antithrombotics at discharge,West Central
14942,Male,99%,99%,99%,Antithrombotics at discharge,West Central
14942,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
14942,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
14942,Female,96%,96%,97%,Statins at Discharge,West Central
14942,Male,98%,98%,98%,Statins at Discharge,West Central
14942,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
14942,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
14942,Female,97%,92%,93%,Defect Free Care,West Central
14942,Male,98%,93%,93%,Defect Free Care,West Central
14942,Female,43%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
14942,Male,67%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
14942,Female,51%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14942,Male,46%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14942,Female,36%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14942,Male,17%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
15144,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
15144,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
