Hospital_ID,race,Percent_Hospital,Percent_Region,Percent_State,outcome,Region
10401,Black,79%,93%,94%,Defect Free Care,West Central
10401,FL_Hispanic,93%,92%,94%,Defect Free Care,West Central
10401,White,89%,93%,93%,Defect Free Care,West Central
10401,Black,67%,28%,46%,Door To Needle Time Within 60 Minutes,West Central
10401,White,29%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
10401,Black,35%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10401,FL_Hispanic,21%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10401,White,24%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
10401,Black,38%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10401,FL_Hispanic,33%,33%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10401,White,32%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
10720,Black,100%,100%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
10720,White,100%,89%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
10720,Black,98%,99%,98%,Early Antithrombotics (2 days),Panhandle
10720,FL_Hispanic,100%,100%,97%,Early Antithrombotics (2 days),Panhandle
10720,White,100%,98%,98%,Early Antithrombotics (2 days),Panhandle
10720,Black,100%,96%,98%,VTE Prophylaxis,Panhandle
10720,White,100%,95%,97%,VTE Prophylaxis,Panhandle
10720,Black,100%,98%,99%,Antithrombotics at discharge,Panhandle
10720,FL_Hispanic,100%,95%,99%,Antithrombotics at discharge,Panhandle
10720,White,100%,99%,99%,Antithrombotics at discharge,Panhandle
10720,Black,100%,100%,97%,Anticoagulation for AF at discharge,Panhandle
10720,White,100%,98%,97%,Anticoagulation for AF at discharge,Panhandle
10720,Black,100%,95%,98%,Statins at Discharge,Panhandle
10720,FL_Hispanic,100%,94%,98%,Statins at Discharge,Panhandle
10720,White,99%,95%,97%,Statins at Discharge,Panhandle
10720,Black,100%,96%,97%,Smoking Cessation Counseling,Panhandle
10720,White,100%,99%,98%,Smoking Cessation Counseling,Panhandle
10720,Black,98%,91%,94%,Defect Free Care,Panhandle
10720,FL_Hispanic,100%,96%,94%,Defect Free Care,Panhandle
10720,White,100%,91%,93%,Defect Free Care,Panhandle
10720,White,15%,49%,52%,Door To Needle Time Within 60 Minutes,Panhandle
10720,Black,49%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
10720,White,57%,40%,36%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
10720,Black,33%,45%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
10720,White,25%,42%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
13705,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13705,White,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13705,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13705,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13705,White,97%,98%,98%,Early Antithrombotics (2 days),South
13705,Black,100%,98%,98%,VTE Prophylaxis,South
13705,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13705,White,98%,97%,97%,VTE Prophylaxis,South
13705,Black,100%,99%,99%,Antithrombotics at discharge,South
13705,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13705,White,100%,99%,99%,Antithrombotics at discharge,South
13705,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13705,White,83%,97%,97%,Anticoagulation for AF at discharge,South
13705,Black,100%,99%,98%,Statins at Discharge,South
13705,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13705,White,100%,98%,97%,Statins at Discharge,South
13705,Black,100%,97%,97%,Smoking Cessation Counseling,South
13705,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
13705,White,100%,99%,98%,Smoking Cessation Counseling,South
13705,Black,100%,94%,94%,Defect Free Care,South
13705,FL_Hispanic,100%,93%,94%,Defect Free Care,South
13705,White,95%,94%,93%,Defect Free Care,South
13705,Black,25%,54%,46%,Door To Needle Time Within 60 Minutes,South
13705,White,50%,66%,52%,Door To Needle Time Within 60 Minutes,South
13705,Black,62%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13705,FL_Hispanic,50%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13705,White,47%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13705,Black,67%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13705,White,60%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13710,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13710,FL_Hispanic,100%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13710,Black,71%,97%,98%,Early Antithrombotics (2 days),South
13710,FL_Hispanic,92%,97%,97%,Early Antithrombotics (2 days),South
13710,White,89%,98%,98%,Early Antithrombotics (2 days),South
13710,Black,100%,98%,98%,VTE Prophylaxis,South
13710,FL_Hispanic,97%,98%,98%,VTE Prophylaxis,South
13710,White,89%,97%,97%,VTE Prophylaxis,South
13710,Black,90%,99%,99%,Antithrombotics at discharge,South
13710,FL_Hispanic,99%,99%,99%,Antithrombotics at discharge,South
13710,White,100%,99%,99%,Antithrombotics at discharge,South
13710,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13710,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13710,Black,100%,99%,98%,Statins at Discharge,South
13710,FL_Hispanic,98%,98%,98%,Statins at Discharge,South
13710,White,100%,98%,97%,Statins at Discharge,South
13710,Black,80%,97%,97%,Smoking Cessation Counseling,South
13710,FL_Hispanic,90%,95%,97%,Smoking Cessation Counseling,South
13710,White,100%,99%,98%,Smoking Cessation Counseling,South
13710,Black,60%,94%,94%,Defect Free Care,South
13710,FL_Hispanic,88%,93%,94%,Defect Free Care,South
13710,White,89%,94%,93%,Defect Free Care,South
13710,Black,50%,54%,46%,Door To Needle Time Within 60 Minutes,South
13710,FL_Hispanic,17%,76%,68%,Door To Needle Time Within 60 Minutes,South
13710,Black,44%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13710,FL_Hispanic,46%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13710,White,25%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13710,Black,67%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13710,FL_Hispanic,30%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13732,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13732,White,93%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13732,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13732,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13732,White,99%,98%,98%,Early Antithrombotics (2 days),South
13732,Black,100%,98%,98%,VTE Prophylaxis,South
13732,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13732,White,99%,97%,97%,VTE Prophylaxis,South
13732,Black,98%,99%,99%,Antithrombotics at discharge,South
13732,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13732,White,100%,99%,99%,Antithrombotics at discharge,South
13732,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13732,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13732,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13732,Black,99%,99%,98%,Statins at Discharge,South
13732,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13732,White,100%,98%,97%,Statins at Discharge,South
13732,Black,100%,97%,97%,Smoking Cessation Counseling,South
13732,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
13732,White,100%,99%,98%,Smoking Cessation Counseling,South
13732,Black,97%,94%,94%,Defect Free Care,South
13732,FL_Hispanic,100%,93%,94%,Defect Free Care,South
13732,White,98%,94%,93%,Defect Free Care,South
13732,Black,61%,54%,46%,Door To Needle Time Within 60 Minutes,South
13732,White,69%,66%,52%,Door To Needle Time Within 60 Minutes,South
13732,Black,57%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13732,FL_Hispanic,71%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13732,White,79%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13732,Black,64%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13732,White,38%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13742,White,91%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13742,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13742,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13742,White,97%,98%,98%,Early Antithrombotics (2 days),South
13742,Black,100%,98%,98%,VTE Prophylaxis,South
13742,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13742,White,99%,97%,97%,VTE Prophylaxis,South
13742,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13742,White,100%,99%,99%,Antithrombotics at discharge,South
13742,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13742,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13742,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13742,White,100%,98%,97%,Statins at Discharge,South
13742,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
13742,White,100%,99%,98%,Smoking Cessation Counseling,South
13742,Black,100%,94%,94%,Defect Free Care,South
13742,FL_Hispanic,100%,93%,94%,Defect Free Care,South
13742,White,95%,94%,93%,Defect Free Care,South
13742,White,70%,66%,52%,Door To Needle Time Within 60 Minutes,South
13742,FL_Hispanic,83%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13742,White,59%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13742,White,33%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13779,Black,75%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13779,FL_Hispanic,100%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13779,Black,99%,97%,98%,Early Antithrombotics (2 days),South
13779,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13779,White,100%,98%,98%,Early Antithrombotics (2 days),South
13779,Black,99%,98%,98%,VTE Prophylaxis,South
13779,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13779,White,100%,97%,97%,VTE Prophylaxis,South
13779,Black,100%,99%,99%,Antithrombotics at discharge,South
13779,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13779,White,100%,99%,99%,Antithrombotics at discharge,South
13779,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13779,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13779,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13779,Black,100%,99%,98%,Statins at Discharge,South
13779,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13779,White,100%,98%,97%,Statins at Discharge,South
13779,Black,92%,97%,97%,Smoking Cessation Counseling,South
13779,FL_Hispanic,75%,95%,97%,Smoking Cessation Counseling,South
13779,White,100%,99%,98%,Smoking Cessation Counseling,South
13779,Black,96%,94%,94%,Defect Free Care,South
13779,FL_Hispanic,95%,93%,94%,Defect Free Care,South
13779,White,100%,94%,93%,Defect Free Care,South
13779,FL_Hispanic,100%,76%,68%,Door To Needle Time Within 60 Minutes,South
13779,Black,33%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13779,FL_Hispanic,39%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13779,White,38%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13779,Black,33%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13779,FL_Hispanic,50%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13781,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13781,White,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13781,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13781,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13781,White,99%,98%,98%,Early Antithrombotics (2 days),South
13781,Black,100%,98%,98%,VTE Prophylaxis,South
13781,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13781,White,100%,97%,97%,VTE Prophylaxis,South
13781,Black,100%,99%,99%,Antithrombotics at discharge,South
13781,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13781,White,100%,99%,99%,Antithrombotics at discharge,South
13781,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13781,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13781,Black,100%,99%,98%,Statins at Discharge,South
13781,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13781,White,99%,98%,97%,Statins at Discharge,South
13781,Black,100%,97%,97%,Smoking Cessation Counseling,South
13781,White,100%,99%,98%,Smoking Cessation Counseling,South
13781,Black,100%,94%,94%,Defect Free Care,South
13781,FL_Hispanic,100%,93%,94%,Defect Free Care,South
13781,White,99%,94%,93%,Defect Free Care,South
13781,Black,50%,54%,46%,Door To Needle Time Within 60 Minutes,South
13781,White,82%,66%,52%,Door To Needle Time Within 60 Minutes,South
13781,Black,55%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13781,FL_Hispanic,100%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13781,White,70%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13781,Black,100%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13781,White,49%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13782,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13782,FL_Hispanic,98%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13782,Black,94%,97%,98%,Early Antithrombotics (2 days),South
13782,FL_Hispanic,98%,97%,97%,Early Antithrombotics (2 days),South
13782,White,100%,98%,98%,Early Antithrombotics (2 days),South
13782,Black,88%,98%,98%,VTE Prophylaxis,South
13782,FL_Hispanic,97%,98%,98%,VTE Prophylaxis,South
13782,White,100%,97%,97%,VTE Prophylaxis,South
13782,Black,100%,99%,99%,Antithrombotics at discharge,South
13782,FL_Hispanic,99%,99%,99%,Antithrombotics at discharge,South
13782,White,100%,99%,99%,Antithrombotics at discharge,South
13782,Black,67%,98%,97%,Anticoagulation for AF at discharge,South
13782,FL_Hispanic,95%,97%,98%,Anticoagulation for AF at discharge,South
13782,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13782,Black,100%,99%,98%,Statins at Discharge,South
13782,FL_Hispanic,99%,98%,98%,Statins at Discharge,South
13782,White,100%,98%,97%,Statins at Discharge,South
13782,Black,100%,97%,97%,Smoking Cessation Counseling,South
13782,FL_Hispanic,93%,95%,97%,Smoking Cessation Counseling,South
13782,White,100%,99%,98%,Smoking Cessation Counseling,South
13782,Black,84%,94%,94%,Defect Free Care,South
13782,FL_Hispanic,93%,93%,94%,Defect Free Care,South
13782,White,100%,94%,93%,Defect Free Care,South
13782,Black,83%,54%,46%,Door To Needle Time Within 60 Minutes,South
13782,FL_Hispanic,90%,76%,68%,Door To Needle Time Within 60 Minutes,South
13782,White,100%,66%,52%,Door To Needle Time Within 60 Minutes,South
13782,Black,54%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13782,FL_Hispanic,59%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13782,White,64%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13782,Black,60%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13782,FL_Hispanic,57%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13782,White,20%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13811,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13811,FL_Hispanic,100%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13811,White,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13811,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13811,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13811,White,98%,98%,98%,Early Antithrombotics (2 days),South
13811,Black,100%,98%,98%,VTE Prophylaxis,South
13811,FL_Hispanic,95%,98%,98%,VTE Prophylaxis,South
13811,White,97%,97%,97%,VTE Prophylaxis,South
13811,Black,100%,99%,99%,Antithrombotics at discharge,South
13811,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13811,White,100%,99%,99%,Antithrombotics at discharge,South
13811,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13811,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13811,Black,100%,99%,98%,Statins at Discharge,South
13811,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13811,White,100%,98%,97%,Statins at Discharge,South
13811,Black,100%,97%,97%,Smoking Cessation Counseling,South
13811,White,100%,99%,98%,Smoking Cessation Counseling,South
13811,Black,100%,94%,94%,Defect Free Care,South
13811,FL_Hispanic,95%,93%,94%,Defect Free Care,South
13811,White,96%,94%,93%,Defect Free Care,South
13811,Black,100%,54%,46%,Door To Needle Time Within 60 Minutes,South
13811,FL_Hispanic,100%,76%,68%,Door To Needle Time Within 60 Minutes,South
13811,White,100%,66%,52%,Door To Needle Time Within 60 Minutes,South
13811,Black,33%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13811,FL_Hispanic,36%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13811,White,36%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13811,Black,67%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13811,FL_Hispanic,67%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13811,White,38%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13815,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13815,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13815,White,100%,98%,98%,Early Antithrombotics (2 days),South
13815,Black,100%,98%,98%,VTE Prophylaxis,South
13815,FL_Hispanic,96%,98%,98%,VTE Prophylaxis,South
13815,White,100%,97%,97%,VTE Prophylaxis,South
13815,Black,100%,99%,99%,Antithrombotics at discharge,South
13815,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13815,White,100%,99%,99%,Antithrombotics at discharge,South
13815,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13815,Black,100%,99%,98%,Statins at Discharge,South
13815,FL_Hispanic,94%,98%,98%,Statins at Discharge,South
13815,White,100%,98%,97%,Statins at Discharge,South
13815,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
13815,Black,100%,94%,94%,Defect Free Care,South
13815,FL_Hispanic,93%,93%,94%,Defect Free Care,South
13815,White,100%,94%,93%,Defect Free Care,South
13815,Black,100%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13815,FL_Hispanic,13%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13819,White,98%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13819,Black,100%,97%,98%,Early Antithrombotics (2 days),South
13819,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
13819,White,100%,98%,98%,Early Antithrombotics (2 days),South
13819,Black,100%,98%,98%,VTE Prophylaxis,South
13819,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13819,White,100%,97%,97%,VTE Prophylaxis,South
13819,Black,100%,99%,99%,Antithrombotics at discharge,South
13819,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13819,White,100%,99%,99%,Antithrombotics at discharge,South
13819,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13819,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
13819,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13819,Black,100%,99%,98%,Statins at Discharge,South
13819,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13819,White,100%,98%,97%,Statins at Discharge,South
13819,Black,100%,97%,97%,Smoking Cessation Counseling,South
13819,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
13819,White,100%,99%,98%,Smoking Cessation Counseling,South
13819,Black,100%,94%,94%,Defect Free Care,South
13819,FL_Hispanic,100%,93%,94%,Defect Free Care,South
13819,White,99%,94%,93%,Defect Free Care,South
13819,Black,100%,54%,46%,Door To Needle Time Within 60 Minutes,South
13819,White,80%,66%,52%,Door To Needle Time Within 60 Minutes,South
13819,Black,67%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,FL_Hispanic,100%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,White,74%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13819,Black,50%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13819,White,47%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13862,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
13862,Black,93%,97%,98%,Early Antithrombotics (2 days),South
13862,FL_Hispanic,93%,97%,97%,Early Antithrombotics (2 days),South
13862,White,89%,98%,98%,Early Antithrombotics (2 days),South
13862,Black,97%,98%,98%,VTE Prophylaxis,South
13862,FL_Hispanic,100%,98%,98%,VTE Prophylaxis,South
13862,White,100%,97%,97%,VTE Prophylaxis,South
13862,Black,97%,99%,99%,Antithrombotics at discharge,South
13862,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
13862,White,100%,99%,99%,Antithrombotics at discharge,South
13862,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
13862,White,100%,97%,97%,Anticoagulation for AF at discharge,South
13862,Black,96%,99%,98%,Statins at Discharge,South
13862,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
13862,White,100%,98%,97%,Statins at Discharge,South
