Hospital_ID,race, Percent_Hospital , Percent_Region , Percent_State ,outcome,num_N,deno_N
10720,White,0.57,0.4,0.36,Door to CT Time Within 25 Minutes (All Strokes),112,197
10720,Black,0.33,0.45,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,4,12
10720,White,0.25,0.42,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,20,81
13705,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,3,3
13705,White,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,5,5
13705,Black,1,0.97,0.98,Early Antithrombotics (2 days),18,18
13705,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),2,2
13705,White,0.97,0.98,0.98,Early Antithrombotics (2 days),29,30
13705,Black,1,0.98,0.98,VTE Prophylaxis,21,21
13705,FL_Hispanic,1,0.98,0.98,VTE Prophylaxis,2,2
13705,White,0.98,0.97,0.97,VTE Prophylaxis,43,44
13705,Black,1,0.99,0.99,Antithrombotics at discharge,16,16
13705,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,1,1
13705,White,1,0.99,0.99,Antithrombotics at discharge,35,35
13705,Black,1,0.98,0.97,Anticoagulation for AF at discharge,4,4
13705,White,0.83,0.97,0.97,Anticoagulation for AF at discharge,5,6
13705,Black,1,0.99,0.98,Statins at Discharge,12,12
13705,FL_Hispanic,1,0.98,0.98,Statins at Discharge,1,1
13705,White,1,0.98,0.97,Statins at Discharge,23,23
13705,Black,1,0.97,0.97,Smoking Cessation Counseling,1,1
13705,FL_Hispanic,1,0.95,0.97,Smoking Cessation Counseling,1,1
13705,White,1,0.99,0.98,Smoking Cessation Counseling,7,7
13705,Black,1,0.94,0.94,Defect Free Care,22,22
13705,FL_Hispanic,1,0.93,0.94,Defect Free Care,2,2
13705,White,0.95,0.94,0.93,Defect Free Care,42,44
13705,Black,0.25,0.54,0.46,Door To Needle Time Within 60 Minutes,1,4
13705,White,0.5,0.66,0.52,Door To Needle Time Within 60 Minutes,3,6
13705,Black,0.62,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),13,21
13705,FL_Hispanic,0.5,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),1,2
13705,White,0.47,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),20,43
13705,Black,0.67,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,4,6
13705,White,0.6,0.43,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,6,10
13710,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
13710,FL_Hispanic,1,0.97,0.97,rtPA Arrive by 2 hour and Treat by 3 hour,3,3
13710,Black,0.71,0.97,0.98,Early Antithrombotics (2 days),5,7
13710,FL_Hispanic,0.92,0.97,0.97,Early Antithrombotics (2 days),97,105
13710,White,0.89,0.98,0.98,Early Antithrombotics (2 days),8,9
13710,Black,1,0.98,0.98,VTE Prophylaxis,10,10
13710,FL_Hispanic,0.97,0.98,0.98,VTE Prophylaxis,114,117
13710,White,0.89,0.97,0.97,VTE Prophylaxis,8,9
13710,Black,0.9,0.99,0.99,Antithrombotics at discharge,9,10
13710,FL_Hispanic,0.99,0.99,0.99,Antithrombotics at discharge,90,91
13710,White,1,0.99,0.99,Antithrombotics at discharge,7,7
13710,Black,1,0.98,0.97,Anticoagulation for AF at discharge,1,1
13710,FL_Hispanic,1,0.97,0.98,Anticoagulation for AF at discharge,10,10
13710,Black,1,0.99,0.98,Statins at Discharge,8,8
13710,FL_Hispanic,0.98,0.98,0.98,Statins at Discharge,78,80
13710,White,1,0.98,0.97,Statins at Discharge,5,5
13710,Black,0.8,0.97,0.97,Smoking Cessation Counseling,4,5
13710,FL_Hispanic,0.9,0.95,0.97,Smoking Cessation Counseling,19,21
13710,White,1,0.99,0.98,Smoking Cessation Counseling,1,1
13710,Black,0.6,0.94,0.94,Defect Free Care,6,10
13710,FL_Hispanic,0.88,0.93,0.94,Defect Free Care,104,118
13710,White,0.89,0.94,0.93,Defect Free Care,8,9
13710,Black,0.5,0.54,0.46,Door To Needle Time Within 60 Minutes,1,2
13710,FL_Hispanic,0.17,0.76,0.68,Door To Needle Time Within 60 Minutes,1,6
13710,Black,0.44,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),4,9
13710,FL_Hispanic,0.46,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),44,95
13710,White,0.25,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),2,8
13710,Black,0.67,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,2,3
13710,FL_Hispanic,0.3,0.44,0.43,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,6,20
13732,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,16,16
13732,White,0.93,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,14,15
13732,Black,1,0.97,0.98,Early Antithrombotics (2 days),84,84
13732,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),11,11
13732,White,0.99,0.98,0.98,Early Antithrombotics (2 days),76,77
13732,Black,1,0.98,0.98,VTE Prophylaxis,115,115
13732,FL_Hispanic,1,0.98,0.98,VTE Prophylaxis,12,12
13732,White,0.99,0.97,0.97,VTE Prophylaxis,116,117
13732,Black,0.98,0.99,0.99,Antithrombotics at discharge,92,94
13732,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,11,11
13732,White,1,0.99,0.99,Antithrombotics at discharge,82,82
13732,Black,1,0.98,0.97,Anticoagulation for AF at discharge,9,9
13732,FL_Hispanic,1,0.97,0.98,Anticoagulation for AF at discharge,2,2
13732,White,1,0.97,0.97,Anticoagulation for AF at discharge,19,19
13732,Black,0.99,0.99,0.98,Statins at Discharge,70,71
13732,FL_Hispanic,1,0.98,0.98,Statins at Discharge,8,8
13732,White,1,0.98,0.97,Statins at Discharge,65,65
13732,Black,1,0.97,0.97,Smoking Cessation Counseling,15,15
13732,FL_Hispanic,1,0.95,0.97,Smoking Cessation Counseling,1,1
13732,White,1,0.99,0.98,Smoking Cessation Counseling,19,19
13732,Black,0.97,0.94,0.94,Defect Free Care,112,115
13732,FL_Hispanic,1,0.93,0.94,Defect Free Care,12,12
13732,White,0.98,0.94,0.93,Defect Free Care,116,118
13732,Black,0.61,0.54,0.46,Door To Needle Time Within 60 Minutes,11,18
13732,White,0.69,0.66,0.52,Door To Needle Time Within 60 Minutes,11,16
13732,Black,0.57,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),52,91
13732,FL_Hispanic,0.71,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),5,7
13732,White,0.79,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),68,86
13732,Black,0.64,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,18,28
13732,White,0.38,0.43,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,16,42
13742,White,0.91,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,10,11
13742,Black,1,0.97,0.98,Early Antithrombotics (2 days),1,1
13742,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),8,8
13742,White,0.97,0.98,0.98,Early Antithrombotics (2 days),61,63
13742,Black,1,0.98,0.98,VTE Prophylaxis,1,1
13742,FL_Hispanic,1,0.98,0.98,VTE Prophylaxis,8,8
13742,White,0.99,0.97,0.97,VTE Prophylaxis,74,75
13742,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,7,7
13742,White,1,0.99,0.99,Antithrombotics at discharge,62,62
13742,FL_Hispanic,1,0.97,0.98,Anticoagulation for AF at discharge,1,1
13742,White,1,0.97,0.97,Anticoagulation for AF at discharge,10,10
13742,FL_Hispanic,1,0.98,0.98,Statins at Discharge,5,5
13742,White,1,0.98,0.97,Statins at Discharge,56,56
13742,FL_Hispanic,1,0.95,0.97,Smoking Cessation Counseling,1,1
13742,White,1,0.99,0.98,Smoking Cessation Counseling,6,6
13742,Black,1,0.94,0.94,Defect Free Care,1,1
13742,FL_Hispanic,1,0.93,0.94,Defect Free Care,8,8
13742,White,0.95,0.94,0.93,Defect Free Care,72,76
13742,White,0.7,0.66,0.52,Door To Needle Time Within 60 Minutes,7,10
13742,FL_Hispanic,0.83,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),5,6
13742,White,0.59,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),40,68
13742,White,0.33,0.43,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,10,30
13779,Black,0.75,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,3,4
13779,FL_Hispanic,1,0.97,0.97,rtPA Arrive by 2 hour and Treat by 3 hour,1,1
13779,Black,0.99,0.97,0.98,Early Antithrombotics (2 days),85,86
13779,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),17,17
13779,White,1,0.98,0.98,Early Antithrombotics (2 days),7,7
13779,Black,0.99,0.98,0.98,VTE Prophylaxis,93,94
13779,FL_Hispanic,1,0.98,0.98,VTE Prophylaxis,19,19
13779,White,1,0.97,0.97,VTE Prophylaxis,8,8
13779,Black,1,0.99,0.99,Antithrombotics at discharge,81,81
13779,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,15,15
13779,White,1,0.99,0.99,Antithrombotics at discharge,7,7
13779,Black,1,0.98,0.97,Anticoagulation for AF at discharge,2,2
13779,FL_Hispanic,1,0.97,0.98,Anticoagulation for AF at discharge,1,1
13779,White,1,0.97,0.97,Anticoagulation for AF at discharge,1,1
13779,Black,1,0.99,0.98,Statins at Discharge,62,62
13779,FL_Hispanic,1,0.98,0.98,Statins at Discharge,11,11
13779,White,1,0.98,0.97,Statins at Discharge,6,6
13779,Black,0.92,0.97,0.97,Smoking Cessation Counseling,11,12
13779,FL_Hispanic,0.75,0.95,0.97,Smoking Cessation Counseling,3,4
13779,White,1,0.99,0.98,Smoking Cessation Counseling,1,1
13779,Black,0.96,0.94,0.94,Defect Free Care,90,94
13779,FL_Hispanic,0.95,0.93,0.94,Defect Free Care,18,19
13779,White,1,0.94,0.93,Defect Free Care,8,8
13779,FL_Hispanic,1,0.76,0.68,Door To Needle Time Within 60 Minutes,1,1
13779,Black,0.33,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),29,89
13779,FL_Hispanic,0.39,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),7,18
13779,White,0.38,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),3,8
13779,Black,0.33,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,4,12
13779,FL_Hispanic,0.5,0.44,0.43,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,2
13781,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,2,2
13781,White,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,17,17
13781,Black,1,0.97,0.98,Early Antithrombotics (2 days),21,21
13781,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),3,3
13781,White,0.99,0.98,0.98,Early Antithrombotics (2 days),109,110
13781,Black,1,0.98,0.98,VTE Prophylaxis,23,23
13781,FL_Hispanic,1,0.98,0.98,VTE Prophylaxis,3,3
13781,White,1,0.97,0.97,VTE Prophylaxis,138,138
13781,Black,1,0.99,0.99,Antithrombotics at discharge,22,22
13781,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,3,3
13781,White,1,0.99,0.99,Antithrombotics at discharge,121,121
13781,Black,1,0.98,0.97,Anticoagulation for AF at discharge,2,2
13781,White,1,0.97,0.97,Anticoagulation for AF at discharge,28,28
13781,Black,1,0.99,0.98,Statins at Discharge,16,16
13781,FL_Hispanic,1,0.98,0.98,Statins at Discharge,2,2
13781,White,0.99,0.98,0.97,Statins at Discharge,92,93
13781,Black,1,0.97,0.97,Smoking Cessation Counseling,5,5
13781,White,1,0.99,0.98,Smoking Cessation Counseling,14,14
13781,Black,1,0.94,0.94,Defect Free Care,23,23
13781,FL_Hispanic,1,0.93,0.94,Defect Free Care,3,3
13781,White,0.99,0.94,0.93,Defect Free Care,137,139
13781,Black,0.5,0.54,0.46,Door To Needle Time Within 60 Minutes,1,2
13781,White,0.82,0.66,0.52,Door To Needle Time Within 60 Minutes,18,22
13781,Black,0.55,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),11,20
13781,FL_Hispanic,1,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),3,3
13781,White,0.7,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),86,123
13781,Black,1,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,2,2
13781,White,0.49,0.43,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,20,41
13782,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,6,6
13782,FL_Hispanic,0.98,0.97,0.97,rtPA Arrive by 2 hour and Treat by 3 hour,86,88
13782,Black,0.94,0.97,0.98,Early Antithrombotics (2 days),16,17
13782,FL_Hispanic,0.98,0.97,0.97,Early Antithrombotics (2 days),257,262
13782,White,1,0.98,0.98,Early Antithrombotics (2 days),11,11
13782,Black,0.88,0.98,0.98,VTE Prophylaxis,22,25
13782,FL_Hispanic,0.97,0.98,0.98,VTE Prophylaxis,384,396
13782,White,1,0.97,0.97,VTE Prophylaxis,13,13
13782,Black,1,0.99,0.99,Antithrombotics at discharge,16,16
13782,FL_Hispanic,0.99,0.99,0.99,Antithrombotics at discharge,316,320
13782,White,1,0.99,0.99,Antithrombotics at discharge,12,12
13782,Black,0.67,0.98,0.97,Anticoagulation for AF at discharge,2,3
13782,FL_Hispanic,0.95,0.97,0.98,Anticoagulation for AF at discharge,52,55
13782,White,1,0.97,0.97,Anticoagulation for AF at discharge,2,2
13782,Black,1,0.99,0.98,Statins at Discharge,16,16
13782,FL_Hispanic,0.99,0.98,0.98,Statins at Discharge,278,280
13782,White,1,0.98,0.97,Statins at Discharge,10,10
13782,Black,1,0.97,0.97,Smoking Cessation Counseling,2,2
13782,FL_Hispanic,0.93,0.95,0.97,Smoking Cessation Counseling,40,43
13782,White,1,0.99,0.98,Smoking Cessation Counseling,1,1
13782,Black,0.84,0.94,0.94,Defect Free Care,21,25
13782,FL_Hispanic,0.93,0.93,0.94,Defect Free Care,368,397
13782,White,1,0.94,0.93,Defect Free Care,13,13
13782,Black,0.83,0.54,0.46,Door To Needle Time Within 60 Minutes,5,6
13782,FL_Hispanic,0.9,0.76,0.68,Door To Needle Time Within 60 Minutes,88,98
13782,White,1,0.66,0.52,Door To Needle Time Within 60 Minutes,2,2
13782,Black,0.54,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),13,24
13782,FL_Hispanic,0.59,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),212,362
13782,White,0.64,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),7,11
13782,Black,0.6,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,6,10
13782,FL_Hispanic,0.57,0.44,0.43,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,94,166
13782,White,0.2,0.43,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,1,5
13811,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,2,2
13811,FL_Hispanic,1,0.97,0.97,rtPA Arrive by 2 hour and Treat by 3 hour,3,3
13811,White,1,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,7,7
13811,Black,1,0.97,0.98,Early Antithrombotics (2 days),24,24
13811,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),12,12
13811,White,0.98,0.98,0.98,Early Antithrombotics (2 days),52,53
13811,Black,1,0.98,0.98,VTE Prophylaxis,28,28
13811,FL_Hispanic,0.95,0.98,0.98,VTE Prophylaxis,18,19
13811,White,0.97,0.97,0.97,VTE Prophylaxis,65,67
13811,Black,1,0.99,0.99,Antithrombotics at discharge,25,25
13811,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,15,15
13811,White,1,0.99,0.99,Antithrombotics at discharge,63,63
13811,FL_Hispanic,1,0.97,0.98,Anticoagulation for AF at discharge,4,4
13811,White,1,0.97,0.97,Anticoagulation for AF at discharge,9,9
13811,Black,1,0.99,0.98,Statins at Discharge,20,20
13811,FL_Hispanic,1,0.98,0.98,Statins at Discharge,12,12
13811,White,1,0.98,0.97,Statins at Discharge,51,51
13811,Black,1,0.97,0.97,Smoking Cessation Counseling,2,2
13811,White,1,0.99,0.98,Smoking Cessation Counseling,4,4
13811,Black,1,0.94,0.94,Defect Free Care,28,28
13811,FL_Hispanic,0.95,0.93,0.94,Defect Free Care,18,19
13811,White,0.96,0.94,0.93,Defect Free Care,64,67
13811,Black,1,0.54,0.46,Door To Needle Time Within 60 Minutes,2,2
13811,FL_Hispanic,1,0.76,0.68,Door To Needle Time Within 60 Minutes,4,4
13811,White,1,0.66,0.52,Door To Needle Time Within 60 Minutes,8,8
13811,Black,0.33,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),8,24
13811,FL_Hispanic,0.36,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),5,14
13811,White,0.36,0.45,0.36,Door to CT Time Within 25 Minutes (All Strokes),17,47
13811,Black,0.67,0.47,0.42,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,2,3
13811,FL_Hispanic,0.67,0.44,0.43,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,4,6
13811,White,0.38,0.43,0.37,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,8,21
13815,Black,1,0.97,0.98,Early Antithrombotics (2 days),1,1
13815,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),44,44
13815,White,1,0.98,0.98,Early Antithrombotics (2 days),2,2
13815,Black,1,0.98,0.98,VTE Prophylaxis,2,2
13815,FL_Hispanic,0.96,0.98,0.98,VTE Prophylaxis,52,54
13815,White,1,0.97,0.97,VTE Prophylaxis,2,2
13815,Black,1,0.99,0.99,Antithrombotics at discharge,2,2
13815,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,40,40
13815,White,1,0.99,0.99,Antithrombotics at discharge,2,2
13815,FL_Hispanic,1,0.97,0.98,Anticoagulation for AF at discharge,5,5
13815,Black,1,0.99,0.98,Statins at Discharge,2,2
13815,FL_Hispanic,0.94,0.98,0.98,Statins at Discharge,29,31
13815,White,1,0.98,0.97,Statins at Discharge,1,1
13815,FL_Hispanic,1,0.95,0.97,Smoking Cessation Counseling,1,1
13815,Black,1,0.94,0.94,Defect Free Care,2,2
13815,FL_Hispanic,0.93,0.93,0.94,Defect Free Care,50,54
13815,White,1,0.94,0.93,Defect Free Care,2,2
13815,Black,1,0.32,0.28,Door to CT Time Within 25 Minutes (All Strokes),1,1
13815,FL_Hispanic,0.13,0.43,0.36,Door to CT Time Within 25 Minutes (All Strokes),4,31
13819,Black,1,0.98,0.96,rtPA Arrive by 2 hour and Treat by 3 hour,2,2
13819,White,0.98,0.96,0.94,rtPA Arrive by 2 hour and Treat by 3 hour,39,40
13819,Black,1,0.97,0.98,Early Antithrombotics (2 days),26,26
13819,FL_Hispanic,1,0.97,0.97,Early Antithrombotics (2 days),16,16
13819,White,1,0.98,0.98,Early Antithrombotics (2 days),240,240
13819,Black,1,0.98,0.98,VTE Prophylaxis,38,38
13819,FL_Hispanic,1,0.98,0.98,VTE Prophylaxis,16,16
13819,White,1,0.97,0.97,VTE Prophylaxis,313,314
13819,Black,1,0.99,0.99,Antithrombotics at discharge,33,33
13819,FL_Hispanic,1,0.99,0.99,Antithrombotics at discharge,15,15
13819,White,1,0.99,0.99,Antithrombotics at discharge,271,271
13819,Black,1,0.98,0.97,Anticoagulation for AF at discharge,5,5
